📺央视频道,#genre#
CCTV-1,http://122.9.151.210:4299/rtp/238.255.2.91:5999
CCTV-2,http://122.9.151.210:4299/rtp/238.255.2.11:5999
CCTV-3,http://122.9.151.210:4299/rtp/238.255.2.133:5999
CCTV-4,http://122.9.151.210:4299/rtp/238.255.2.92:5999
CCTV-4,http://122.9.151.210:4299/rtp/238.255.2.213:5999
CCTV-5,http://122.9.151.210:4299/rtp/238.255.2.134:5999
CCTV-5+,http://122.9.151.210:4299/rtp/238.255.2.185:5999
CCTV-6,http://122.9.151.210:4299/rtp/238.255.2.135:5999
CCTV-7,http://122.9.151.210:4299/rtp/238.255.2.12:5999
CCTV-8,http://122.9.151.210:4299/rtp/238.255.2.136:5999
CCTV-9,http://122.9.151.210:4299/rtp/238.255.2.155:5999
CCTV-10,http://122.9.151.210:4299/rtp/238.255.2.13:5999
CCTV-11,http://122.9.151.210:4299/rtp/238.255.2.14:5999
CCTV-12,http://122.9.151.210:4299/rtp/238.255.2.15:5999
CCTV-13,http://122.9.151.210:4299/rtp/238.255.2.16:5999
CCTV-14,http://122.9.151.210:4299/rtp/238.255.2.17:5999
CCTV-15,http://122.9.151.210:4299/rtp/238.255.2.18:5999
📡卫视频道,#genre#
北京卫视,http://122.9.151.210:4299/rtp/238.255.2.81:5999
东方卫视,http://122.9.151.210:4299/rtp/238.255.2.98:5999
天津卫视,http://122.9.151.210:4299/rtp/238.255.2.99:5999
重庆卫视,http://122.9.151.210:4299/rtp/238.255.2.78:5999
黑龙江卫视,http://122.9.151.210:4299/rtp/238.255.2.96:5999
吉林卫视,http://122.9.151.210:4299/rtp/238.255.2.95:5999
辽宁卫视,http://122.9.151.210:4299/rtp/238.255.2.69:5999
山西卫视,http://122.9.151.210:4299/rtp/238.255.2.71:5999
河北卫视,http://122.9.151.210:4299/rtp/238.255.2.77:5999
河南卫视,http://122.9.151.210:4299/rtp/238.255.2.74:5999
山东卫视,http://122.9.151.210:4299/rtp/238.255.2.97:5999
江苏卫视,http://122.9.151.210:4299/rtp/238.255.2.104:5999
安徽卫视,http://122.9.151.210:4299/rtp/238.255.2.101:5999
浙江卫视,http://122.9.151.210:4299/rtp/238.255.2.100:5999
湖北卫视,http://122.9.151.210:4299/rtp/238.255.2.102:5999
湖南卫视,http://122.9.151.210:4299/rtp/238.255.2.93:5999
江西卫视,http://122.9.151.210:4299/rtp/238.255.2.94:5999
东南卫视,http://122.9.151.210:4299/rtp/238.255.2.103:5999
广东卫视,http://122.9.151.210:4299/rtp/238.255.2.59:5999
深圳卫视,http://122.9.151.210:4299/rtp/238.255.2.61:5999
海南卫视,http://122.9.151.210:4299/rtp/238.255.2.58:5999
三沙卫视,http://122.9.151.210:4299/rtp/238.255.2.203:5999
陕西卫视,http://122.9.151.210:4299/rtp/238.255.2.81:5999
四川卫视,http://122.9.151.210:4299/rtp/238.255.2.76:5999
贵州卫视,http://122.9.151.210:4299/rtp/238.255.2.1:5999
云南卫视,http://122.9.151.210:4299/rtp/238.255.2.63:5999
广西卫视,http://122.9.151.210:4299/rtp/238.255.2.64:5999
新疆卫视,http://122.9.151.210:4299/rtp/238.255.2.66:5999
内蒙古卫视,http://122.9.151.210:4299/rtp/238.255.2.53:5999
青海卫视,http://122.9.151.210:4299/rtp/238.255.2.51:5999
甘肃卫视,http://122.9.151.210:4299/rtp/238.255.2.73:5999
宁夏卫视,http://122.9.151.210:4299/rtp/238.255.2.75:5999
🈳无结果频道,#genre#
香港卫视,url
西藏卫视,url
